neutral,maskulinum,femininum,inkl_Doppelpunkt ,inkl_Unterstrich,inkl_Sternchen,inkl_Schrägstrich,inkl_Grossbuchstaben
zahlreich,mannstark,frauenstark,frauenstark,frauenstark,frauenstark,frauenstark,frauenstark
Personenstunde,Mannstunde,Frauenstunde,Frauenstunde,Frauenstunde,Frauenstunde,Frauenstunde,Frauenstunde
"Arbeitstage, Leistungstage Personentage",Manntage,Frauentage,Frauentage,Frauentage,Frauentage,Frauentage,Frauentage
"Arbeitskraft, Humanpower",Manpower,Frauenpower,Frauenpower,Frauenpower,Frauenpower,Frauenpower,Frauenpower
"Turnier, Wettbewerb",Meisterschaft,Meisterinschaft,Meister:inschaft,Meister_inschaft,Meister*inschaft,Meister/inschaft,MeisterInschaft
"Mietverein, Mietvertretung",Mieterverein,Mietervereinin,Mieterverein:in,Mieterverein_in,Mieterverein*in,Mieterverein/in,MietervereinIn
"Firmenausweis, Mitarbeitendenausweis, MA-Ausweis, Arbeitsausweis, Dienstausweis",Mitarbeiterausweis,Mitarbeiterinausweis,Mitarbeiter:inausweis,Mitarbeiter_inausweis,Mitarbeiter*inausweis,Mitarbeiter/inausweis,MitarbeiterInausweis
"Personalbefragung, Beschäftigenbefragung, Angestelltenbefragung, Befragung der Belegschaft, Teambefragung, Befragung im Unternehmen",Mitarbeiterbefragung,Mitarbeiterinbefragung,Mitarbeiter:inbefragung,Mitarbeiter_inbefragung,Mitarbeiter*inbefragung,Mitarbeiter/inbefragung,MitarbeiterInbefragung
"Personalbeurteilung, Angestelltenbeurteilung",Mitarbeiterbeurteilung,Mitarbeiterinbeurteilung,Mitarbeiter:inbeurteilung,Mitarbeiter_inbeurteilung,Mitarbeiter*inbeurteilung,Mitarbeiter/inbeurteilung,MitarbeiterInbeurteilung
Personalmanagement Personführung Personalpolitik,Mitarbeiterführung,Mitarbeiterinführung,Mitarbeiter:inführung,Mitarbeiter_inführung,Mitarbeiter*inführung,Mitarbeiter/inführung,MitarbeiterInführung
"Dienstbesprechung, Qualifikationsgespräch, Arbeitsgespräch, Beurteilungsgespräch, Jahresgespräch, Beschäftigtengespräch Personalgespräch, Mitarbeitendengespräch",Mitarbeitergespräch,Mitarbeiteringespräch,Mitarbeiter:ingespräch,Mitarbeiter_ingespräch,Mitarbeiter*ingespräch,Mitarbeiter/ingespräch,MitarbeiterIngespräch
"Mobilität der Mitarbeitenden, Mitarbeitendenmobilität",Mitarbeitermobilität,Mitarbeiterinmobilität,Mitarbeiter:inmobilität,Mitarbeiter_inmobilität,Mitarbeiter*inmobilität,Mitarbeiter/inmobilität,MitarbeiterInmobilität
"orientiert an den Mitarbeitenden, Mitarbeitendenorientierung",Mitarbeiterorientierung,Mitarbeiterinorientierung,Mitarbeiter:inorientierung,Mitarbeiter_inorientierung,Mitarbeiter*inorientierung,Mitarbeiter/inorientierung,MitarbeiterInorientierung
"Perspektive der Mitarbeitenden, Perspektive der Belegschaft",Mitarbeiterperspektive,Mitarbeiterinperspektive,Mitarbeiter:inperspektive,Mitarbeiter_inperspektive,Mitarbeiter*inperspektive,Mitarbeiter/inperspektive,MitarbeiterInperspektive
"Mitarbeitendenrabatt, Unternehmensrabatt, Jobrabatt",Mitarbeiterrabatt,Mitarbeiterinrabatt,Mitarbeiter:inrabatt,Mitarbeiter_inrabatt,Mitarbeiter*inrabatt,Mitarbeiter/inrabatt,MitarbeiterInrabatt
"Schulung, Schulung der Belegschaft, MA-Schulung, Schulung der Mitarbeitenden",Mitarbeiterschulung,Mitarbeiterinschulung,Mitarbeiter:inschulung,Mitarbeiter_inschulung,Mitarbeiter*inschulung,Mitarbeiter/inschulung,MitarbeiterInschulung
Stellen für Mitarbeitende Arbeitsplätze,Mitarbeiterstellen,Mitarbeiterinstellen,Mitarbeiter:instellen,Mitarbeiter_instellen,Mitarbeiter*instellen,Mitarbeiter/instellen,MitarbeiterInstellen
"Personalsuche, Mitarbeitendensuche",Mitarbeitersuche,Mitarbeiterinsuche,Mitarbeiter:insuche,Mitarbeiter_insuche,Mitarbeiter*insuche,Mitarbeiter/insuche,MitarbeiterInsuche
Mitarbeitendenumfrage,Mitarbeiterumfrage,Mitarbeiterinumfrage,Mitarbeiter:inumfrage,Mitarbeiter_inumfrage,Mitarbeiter*inumfrage,Mitarbeiter/inumfrage,MitarbeiterInumfrage
Personalverpflegung,Mitarbeiterverpflegung,Mitarbeiterinverpflegung,Mitarbeiter:inverpflegung,Mitarbeiter_inverpflegung,Mitarbeiter*inverpflegung,Mitarbeiter/inverpflegung,MitarbeiterInverpflegung
Mitfahrgelegenheit,Mitfahrergelegenheit,Mitfahreringelegenheit,Mitfahrer:ingelegenheit,Mitfahrer_ingelegenheit,Mitfahrer*ingelegenheit,Mitfahrer/ingelegenheit,MitfahrerIngelegenheit
"Pigmentstörung, Leberfleck",Muttermal,Muttermal,Muttermal,Muttermal,Muttermal,Muttermal,Muttermal
"Elternmilch, Brustmilch",Muttermilch,Muttermilch,Muttermilch,Muttermilch,Muttermilch,Muttermilch,Muttermilch
Elternschutz,Mutterschutz,Mutterschutz,Mutterschutz,Mutterschutz,Mutterschutz,Mutterschutz,Mutterschutz
"Erstsprache, erste Sprache, Hauptsprache, Elternsprache, Familiensprache, Heimatsprache",Muttersprache,Muttersprache,Muttersprache,Muttersprache,Muttersprache,Muttersprache,Muttersprache
"Haus, nebenan, Nebenhaus",Nachbarhaus,Nachbarinhaus,Nachbar:inhaus,Nachbar_inhaus,Nachbar*inhaus,Nachbar/inhaus,NachbarInhaus
Umgebung,Nachbarschaft,Nachbarschaft,Nachbarschaft,Nachbarschaft,Nachbarschaft,Nachbarschaft,Nachbarschaft
Nationalteam,Nationalmannschaft,Nationalmannschaft,Nationalmannschaft,Nationalmannschaft,Nationalmannschaft,Nationalmannschaft,Nationalmannschaft
"Nutzungsdaten, Datenspuren, Daten der Nutzenden",Nutzerdaten,Nutzerindaten,Nutzer:indaten,Nutzer_indaten,Nutzer*indaten,Nutzer/indaten,NutzerIndaten
"Eingabe, Eingabe bei Nutzung",Nutzereingabe,Nutzerineingabe,Nutzerine:ingabe,Nutzerine_ingabe,Nutzerine*ingabe,Nutzerine/ingabe,NutzerineIngabe
Nutzungsentgelte,Nutzerentgelte,Nutzerinentgelte,Nutzer:inentgelte,Nutzer_inentgelte,Nutzer*inentgelte,Nutzer/inentgelte,NutzerInentgelte
"Community, Netzwerk",Nutzergemeinde,Nutzeringemeinde,Nutzeringeme:inde,Nutzeringeme_inde,Nutzeringeme*inde,Nutzeringeme/inde,NutzeringemeInde
"mit Aufgaben betrauter Personenkreis, arbeitender Personenkreis, Nutzungsgruppe",Nutzergruppe,Nutzeringruppe,Nutzer:ingruppe,Nutzer_ingruppe,Nutzer*ingruppe,Nutzer/ingruppe,NutzerIngruppe
"Handbuch, Nutzungshandbuch",Nutzerhandbuch,Nutzerinhandbuch,Nutzer:inhandbuch,Nutzer_inhandbuch,Nutzer*inhandbuch,Nutzer/inhandbuch,NutzerInhandbuch
"Account, Konto, Zugang",Nutzerkonto,Nutzerinkonto,Nutzer:inkonto,Nutzer_inkonto,Nutzer*inkonto,Nutzer/inkonto,NutzerInkonto
Nutzendenliste,Nutzerliste,Nutzerinliste,Nutzer:inliste,Nutzer_inliste,Nutzer*inliste,Nutzer/inliste,NutzerInliste
"menschzentriert, nutzungsfreundlich, nutzungsorientiert",nutzerorientiert,nutzerinorientiert,nutzer:inorientiert,nutzer_inorientiert,nutzer*inorientiert,nutzer/inorientiert,nutzerInorientiert
"Zufriedenheit mit der Nutzung, Bedienzufriedenheit",Nutzerzufriedenheit,Nutzerinzufriedenheit,Nutzer:inzufriedenheit,Nutzer_inzufriedenheit,Nutzer*inzufriedenheit,Nutzer/inzufriedenheit,NutzerInzufriedenheit
"Zweierarbeit, Paararbeit, Tandemarbeit",Partnerarbeit,Partnerinarbeit,Partner:inarbeit,Partner_inarbeit,Partner*inarbeit,Partner/inarbeit,PartnerInarbeit
Kooperationsländer,Partnerländer,Partnerinländer,Partner:inländer,Partner_inländer,Partner*inländer,Partner/inländer,PartnerInländer
" kooperierende, Institution, Partneronorganisation",Partnerorganisation,Partnerinorganisation,Partner:inorganisation,Partner_inorganisation,Partner*inorganisation,Partner/inorganisation,PartnerInorganisation
"Beziehung, Kooperation, Zusammenarbeit, Tandem",Partnerschaft,Partnerinschaft,Partner:inschaft,Partner_inschaft,Partner*inschaft,Partner/inschaft,PartnerInschaft
"Lebensmenschsuche, Verbündetensuche, Seelenverwandtensuche, Suche nach dem Herzensmensch",Partnersuche,Partnerinsuche,Partner:insuche,Partner_insuche,Partner*insuche,Partner/insuche,PartnerInsuche
"Wahl, eines, Lebensmenschen",Partnerwahl,Partnerinwahl,Partner:inwahl,Partner_inwahl,Partner*inwahl,Partner/inwahl,PartnerInwahl
"Wohnadresse, Adresse der behandelten Person, Patientonadresse",Patientenadresse,Patientinadresse,Patient:inadresse,Patient_inadresse,Patient*inadresse,Patient/inadresse,PatientInadresse
"Aufklärung, Aufklärungsgespräch, Aufklärung über eine Behandlung, Patientonaufklärung",Patientenaufklärung,Patientinaufklärung,Patient:inaufklärung,Patient_inaufklärung,Patient*inaufklärung,Patient/inaufklärung,PatientInaufklärung
"Betroffenencharakteristik, Erkranktencharakteristik",Patientencharakteristik,Patientincharakteristik,Patient:incharakteristik,Patient_incharakteristik,Patient*incharakteristik,Patient/incharakteristik,PatientIncharakteristik
"Information, Information für Sie, Informationen für Personen in Behandlung, Betroffeneninformation, Behandlungsinformation, Gesundheitsinformation, Patientoninformation",Patienteninformation,Patientininformation,Patientin:information,Patientin_information,Patientin*information,Patientin/information,PatientinInformation
Betroffenenkontakt,Patientenkontakt,Patientinkontakt,Patient:inkontakt,Patient_inkontakt,Patient*inkontakt,Patient/inkontakt,PatientInkontakt
Point-of-Care,patientennah,patientinnah,patient:innah,patient_innah,patient*innah,patient/innah,patientInnah
Name der erkrankten Person,Patientenname,Patientinname,Patient:inname,Patient_inname,Patient*inname,Patient/inname,PatientInname
"die zu behandelnde Person im Fokus haben, die zu behandelnde Person in den Mittelpunkt setzen, auf die behandelnde Person fokussiert, Patientonorientiert",patientenorientiert,patientinorientiert,patient:inorientiert,patient_inorientiert,patient*inorientiert,patient/inorientiert,patientInorientiert
"Anzahl der erkrankten Personen, Patientonpopulation",Patientenpopulation,Patientinpopulation,Patient:inpopulation,Patient_inpopulation,Patient*inpopulation,Patient/inpopulation,PatientInpopulation
"Schulung für Erkrankte, Patientonschulung",Patientenschulung,Patientinschulung,Patient:inschulung,Patient_inschulung,Patient*inschulung,Patient/inschulung,PatientInschulung
"Sichertheit für Erkrankte, Patientonsicherheit",Patientensicherheit,Patientinsicherheit,Patient:insicherheit,Patient_insicherheit,Patient*insicherheit,Patient/insicherheit,PatientInsicherheit
Klientelstamm,Patientenstamm,Patientinstamm,Patient:instamm,Patient_instamm,Patient*instamm,Patient/instamm,PatientInstamm
"Verfügungen für betreute Personen, Patientonverfugung",Patientenverfügung,Patientinverfügung,Patient:inverfügung,Patient_inverfügung,Patient*inverfügung,Patient/inverfügung,PatientInverfügung
"Verfügung für eine betreute Person, Patientonverfügung",Patientenverfügung,Patientinverfügung,Patient:inverfügung,Patient_inverfügung,Patient*inverfügung,Patient/inverfügung,PatientInverfügung
"ärztliche Versorgung, Behandlung, Pflege, Patientonversorgung",Patientenversorgung,Patientinversorgung,Patient:inversorgung,Patient_inversorgung,Patient*inversorgung,Patient/inversorgung,PatientInversorgung
"Wohlsein der Erkrankten Person, Patientonwohl",Patientenwohl,Patientinwohl,Patient:inwohl,Patient_inwohl,Patient*inwohl,Patient/inwohl,PatientInwohl
"Gesundungszimmer, Heilungszimmer, Zimmer",Patientenzimmer,Patientinzimmer,Patient:inzimmer,Patient_inzimmer,Patient*inzimmer,Patient/inzimmer,PatientInzimmer
"Entfernungspauschale, Pendelpauschale, Pauschale für Pendelnde, Pauschale für Menschen die pendeln",Pendlerpauschale,Pendlerinpauschale,Pendler:inpauschale,Pendler_inpauschale,Pendler*inpauschale,Pendler/inpauschale,PendlerInpauschale
"Koordinationslabor, Koordinierungslabor",Pilotlabor,Pilotinlabor,Pilot:inlabor,Pilot_inlabor,Pilot*inlabor,Pilot/inlabor,PilotInlabor
"Testphase, Probebetrieb",Pilotphase,Pilotinphase,Pilot:inphase,Pilot_inphase,Pilot*inphase,Pilot/inphase,PilotInphase
"Versuchsvorhaben, Versuchsprojekt, Testphase",Pilotprojekt,Pilotprojektin,Pilotprojekt:in,Pilotprojekt_in,Pilotprojekt*in,Pilotprojekt/in,PilotprojektIn
"wegbereitende Arbeit, bahnbrechende Leistung",Pionierarbeit,Pionierinarbeit,Pionier:inarbeit,Pionier_inarbeit,Pionier*inarbeit,Pionier/inarbeit,PionierInarbeit
Praktikumsstelle,Praktikantenstelle,Praktikantinnenstelle,Praktikant:innenstelle,Praktikant_innenstelle,Praktikant*innenstelle,Praktikant/innenstelle,PraktikantInnenstelle
Präsidentschaftswahl,Präsidentenwahl,Präsidentinwahl,Präsident:inwahl,Präsident_inwahl,Präsident*inwahl,Präsident/inwahl,PräsidentInwahl
Professorale Stelle,Professorenstelle,Professornstelle,Professornstelle,Professornstelle,Professornstelle,Professornstelle,Professornstelle
Schulaustausch,Schüleraustausch,Schülerinaustausch,Schüler:inaustausch,Schüler_inaustausch,Schüler*inaustausch,Schüler/inaustausch,SchülerInaustausch
Schulausweis,Schülerausweis,Schülerinausweis,Schüler:inausweis,Schüler_inausweis,Schüler*inausweis,Schüler/inausweis,SchülerInausweis
"Schulbegegnung, Klassenbegegnung",Schülerbegegnung,Schülerinbegegnung,Schüler:inbegegnung,Schüler_inbegegnung,Schüler*inbegegnung,Schüler/inbegegnung,SchülerInbegegnung
"Gruppenexperiment, Klassenexperiment, Einzelexperiment",Schülerexperiment,Schülerinexperiment,Schüler:inexperiment,Schüler_inexperiment,Schüler*inexperiment,Schüler/inexperiment,SchülerInexperiment
"Schulfahrtkosten, Schulwegkosten, Exkurskosten, Fahrtkosten",Schülerfahrtkosten,Schülerinfahrtkosten,Schüler:infahrtkosten,Schüler_infahrtkosten,Schüler*infahrtkosten,Schüler/infahrtkosten,SchülerInfahrtkosten
"Juniorfirma, Schüleronfirma",Schülerfirma,Schülerinfirma,Schüler:infirma,Schüler_infirma,Schüler*infirma,Schüler/infirma,SchülerInfirma
Schullabor,Schülerlabor,Schülerinlabor,Schüler:inlabor,Schüler_inlabor,Schüler*inlabor,Schüler/inlabor,SchülerInlabor
"Schulpraktikum, Praktikum in der Schulzeit",Schülerpraktikum,Schülerinpraktikum,Schüler:inpraktikum,Schüler_inpraktikum,Schüler*inpraktikum,Schüler/inpraktikum,SchülerInpraktikum
Schultriathlon,Schülertriathlon,Schülerintriathlon,Schüler:intriathlon,Schüler_intriathlon,Schüler*intriathlon,Schüler/intriathlon,SchülerIntriathlon
"Schulaufführungen, Projektvorstellung, Musikaufführung, Theateraufführung, Konzert, Talentshow, Aufführung",Schülervorstellungen,Schülerinvorstellungen,Schüler:invorstellungen,Schüler_invorstellungen,Schüler*invorstellungen,Schüler/invorstellungen,SchülerInvorstellungen
"Schülerschaftszeitung, Schülizeitung, Zeitung der Lernenden, Zeitung der Lerngemeinschaft, Schüleronzeitung",Schülerzeitung,Schülerinzeitung,Schüler:inzeitung,Schüler_inzeitung,Schüler*inzeitung,Schüler/inzeitung,SchülerInzeitung
"Angebote, für, ältere, Menschen",Seniorenangebot,Seniorinnenangebot,Senior:innenangebot,Senior_innenangebot,Senior*innenangebot,Senior/innenangebot,SeniorInnenangebot
"älterenbeirat, Ruhestandsbeirat, Beirat für das 3. Lebensalter, Senioronbeirat",Seniorenbeirat,Seniorinnenbeirat,Senior:innenbeirat,Senior_innenbeirat,Senior*innenbeirat,Senior/innenbeirat,SeniorInnenbeirat
"Bestenehrung, Bestenauszeichnung, Ehrung der gewinnenden Personen",Siegerehrung,Siegerinehrung,Sieger:inehrung,Sieger_inehrung,Sieger*inehrung,Sieger/inehrung,SiegerInehrung
Sachkundigenfunktion,Spezialistenfunktion,Spezialistinnenfunktion,Spezialist:innenfunktion,Spezialist_innenfunktion,Spezialist*innenfunktion,Spezialist/innenfunktion,SpezialistInnenfunktion
"Teams, Gruppen",Spielergruppen,Spieleringruppen,Spieler:ingruppen,Spieler_ingruppen,Spieler*ingruppen,Spieler/ingruppen,SpielerIngruppen
Sprechende-Hörende-Wechsel,Sprecher-Hörer-Wechsel,Sprecherin-Hörerin-Wechsel,Sprecherin-Hörer:in-Wechsel,Sprecherin-Hörer_in-Wechsel,Sprecherin-Hörer*in-Wechsel,Sprecherin-Hörer/in-Wechsel,Sprecherin-HörerIn-Wechsel
"Turn-Taking, Redeuebernahme, Vergabe des Rederechts",Sprecherwechsel,Sprecherinwechsel,Sprecher:inwechsel,Sprecher_inwechsel,Sprecher*inwechsel,Sprecher/inwechsel,SprecherInwechsel
"Staatsangehörigkeit, Nationalität",Staatsbürgerschaft,Staatsbürgerinschaft,Staatsbürger:inschaft,Staatsbürger_inschaft,Staatsbürger*inschaft,Staatsbürger/inschaft,StaatsbürgerInschaft
Steuerberatungspraxis,Steuerberaterpraxis,Steuerberaterpraxisin,Steuerberaterpraxis:in,Steuerberaterpraxis_in,Steuerberaterpraxis*in,Steuerberaterpraxis/in,SteuerberaterpraxisIn
"Studierendenjob, Studijob, Job",Studentenjob,Studentinnenjob,Student:innenjob,Student_innenjob,Student*innenjob,Student/innenjob,StudentInnenjob
"Studi-Stadt, Universitätsstadt, Studierendenstadt, Hochschulstadt",Studentenstadt,Studentinnenstadt,Student:innenstadt,Student_innenstadt,Student*innenstadt,Student/innenstadt,StudentInnenstadt
Studierendenwerk,Studentenwerk,Studentinnenwerk,Student:innenwerk,Student_innenwerk,Student*innenwerk,Student/innenwerk,StudentInnenwerk
Studierendenwohnheim,Studentenwohnheim,Studentinnenwohnheim,Student:innenwohnheim,Student_innenwohnheim,Student*innenwohnheim,Student/innenwohnheim,StudentInnenwohnheim
Tatbegehende,Täterrolle,Täterinrolle,Täter:inrolle,Täter_inrolle,Täter*inrolle,Täter/inrolle,TäterInrolle
"Teilnahmegebühr, Kursgebühr, Kosten",Teilnehmergebühr,Teilnehmeringebühr,Teilnehmer:ingebühr,Teilnehmer_ingebühr,Teilnehmer*ingebühr,Teilnehmer/ingebühr,TeilnehmerIngebühr
"Teilnahmeliste, Anwesenheitsliste, Teilnehmendenliste",Teilnehmerliste,Teilnehmerinliste,Teilnehmer:inliste,Teilnehmer_inliste,Teilnehmer*inliste,Teilnehmer/inliste,TeilnehmerInliste
"subjektorientiert Personorientiert, teilnehmendenorientiert, gruppenorientiert",teilnehmerorientiert,teilnehmerinorientiert,teilnehmer:inorientiert,teilnehmer_inorientiert,teilnehmer*inorientiert,teilnehmer/inorientiert,teilnehmerInorientiert
"Teilnahmezahl, Gruppengröße, Anmeldezahl",Teilnehmerzahl,Teilnehmerinzahl,Teilnehmer:inzahl,Teilnehmer_inzahl,Teilnehmer*inzahl,Teilnehmer/inzahl,TeilnehmerInzahl
Trainingsdasein,Trainerwesen,Trainerinwesen,Trainer:inwesen,Trainer_inwesen,Trainer*inwesen,Trainer/inwesen,TrainerInwesen
"unternehmerischer Geist, Mensch mit innovativem Denken, Person mit Tatkraft",Unternehmergeist,Unternehmergeistin,Unternehmergeist:in,Unternehmergeist_in,Unternehmergeist*in,Unternehmergeist/in,UnternehmergeistIn
Elternberatung,Vaterberatung,Mütterberatung,Mütterberatung,Mütterberatung,Mütterberatung,Mütterberatung,Mütterberatung
"Heimatland, Geburtsland, Erstland",Vaterland,Mutterland,Mutterland,Mutterland,Mutterland,Mutterland,Mutterland
gebärenlicherseits,vaterlicherseits,mütterlicherseits,mütterlicherseits,mütterlicherseits,mütterlicherseits,mütterlicherseits,mütterlicherseits
[vornamen-]licherseits,väterlicherseits,mütterlicherseits,mütterlicherseits,mütterlicherseits,mütterlicherseits,mütterlicherseits,mütterlicherseits
Versicherungsnummer,Versichertennummer,Versichertinnennummer,Versichert:innennummer,Versichert_innennummer,Versichert*innennummer,Versichert/innennummer,VersichertInnennummer
"Vorprojekt, vorangegangenes, Projekt",Vorgängerprojekt,Vorgängerinprojekt,Vorgänger:inprojekt,Vorgänger_inprojekt,Vorgänger*inprojekt,Vorgänger/inprojekt,VorgängerInprojekt
"Vorstudie, vorangegangene Studie",Vorgängerstudie,Vorgängerinstudie,Vorgänger:instudie,Vorgänger_instudie,Vorgänger*instudie,Vorgänger/instudie,VorgängerInstudie
Werkstudierendenstelle,Werkstudentenstelle,Werkstudentinnenstelle,Werkstudent:innenstelle,Werkstudent_innenstelle,Werkstudent*innenstelle,Werkstudent/innenstelle,WerkstudentInnenstelle
"Praxis für Zahnerhaltung, zahnmedizinische Praxis, Praxis für Zahnmedizin, Zahnärtzonpraxis",Zahnarztpraxis,Zahnärztinpraxis,Zahnärzt:inpraxis,Zahnärzt_inpraxis,Zahnärzt*inpraxis,Zahnärzt/inpraxis,ZahnärztInpraxis
Einschaltquote,Zuschauerquote,Zuschauerquotein,Zuschauerquote:in,Zuschauerquote_in,Zuschauerquote*in,Zuschauerquote/in,ZuschauerquoteIn
"Zuschauraum, Publikumsraum",Zuschauerraum,Zuschauerinraum,Zuschauer:inraum,Zuschauer_inraum,Zuschauer*inraum,Zuschauer/inraum,ZuschauerInraum
Publikumszahl,Zuschauerzahl,Zuschauerinzahl,Zuschauer:inzahl,Zuschauer_inzahl,Zuschauer*inzahl,Zuschauer/inzahl,ZuschauerInzahl
"ärztliche, Leitung, ärztliche, Klinikleitung",Chefarzt,Chefärztin,Chefärzt:in,Chefärzt_in,Chefärzt*in,Chefärzt/in,ChefärztIn
"Hackingangriff, Hackangriff",Hackerangriff,Hackerinangriff,Hacker:inangriff,Hacker_inangriff,Hacker*inangriff,Hacker/inangriff,HackerInangriff
Betreuung der Kundschaft,Kundenbetreuer,Kundinbetreuerin,Kundinbetreuer:in,Kundinbetreuer_in,Kundinbetreuer*in,Kundinbetreuer/in,KundinbetreuerIn
"Teamleitung, Teamführung",Mannschaftskapitän,Mannschaftskapitänin,Mannschaftskapitän:in,Mannschaftskapitän_in,Mannschaftskapitän*in,Mannschaftskapitän/in,MannschaftskapitänIn
Person mit der Erstsprache XYZ Person die XYZ als Erstsprache spricht xyz-erstsprachliche Person,Muttersprachler,Muttersprachlerin,Muttersprachler:in,Muttersprachler_in,Muttersprachler*in,Muttersprachler/in,MuttersprachlerIn
Kommunikation zwischen behandelnder und behandelter Person behandlungsbezogene Kommunikation, Patienten-Arzt-Kommunikation, Patientinnen-Arzt-Kommunikation, Patient:innen-Arzt-Kommunikation, Patient_innen-Arzt-Kommunikation, Patient*innen-Arzt-Kommunikation, Patient/innen-Arzt-Kommunikation, PatientInnen-Arzt-Kommunikation
Kommunikation zwischen behandelnder und behandelter Person behandlungsbezogene Kommunikation,Arzt-Patienten-Kommunikation,ärztin-Patientinnen-Kommunikation,ärztin-Patient:innen-Kommunikation,ärztin-Patient_innen-Kommunikation,ärztin-Patient*innen-Kommunikation,ärztin-Patient/innen-Kommunikation,ärztin-PatientInnen-Kommunikation
ärztliches Vertrauensverhältnis medizinisches Behandlungsverhältnis,Arzt-Patienten-Verhältnis,ärztin-Patientinnen-Verhältnis,ärztin-Patient:innen-Verhältnis,ärztin-Patient_innen-Verhältnis,ärztin-Patient*innen-Verhältnis,ärztin-Patient/innen-Verhältnis,ärztin-PatientInnen-Verhältnis
Gastlichkeit,Gastfreundschaft,Gastinfreundschaft,Gast:infreundschaft,Gast_infreundschaft,Gast*infreundschaft,Gast/infreundschaft,GastInfreundschaft
einladende Person,Gastgeber,Gastgeberin,Gastgeber:in,Gastgeber_in,Gastgeber*in,Gastgeber/in,GastgeberIn
Einladende,Gastgeber,Gastgeberinnen,Gastgeber:innen,Gastgeber_innen,Gastgeber*innen,Gastgeber/innen,GastgeberInnen
MPK Konferenz der Landesoberhäupter,Ministerpräsidentenkonferenz,Ministerpräsidentinkonferenz,Ministerpräsident:inkonferenz,Ministerpräsident_inkonferenz,Ministerpräsident*inkonferenz,Ministerpräsident/inkonferenz,MinisterpräsidentInkonferenz
Person die die Schülerschaft vertritt Lernendenvertretung,Schülervertreter,Schülervertreterin,Schülervertreter:in,Schülervertreter_in,Schülervertreter*in,Schülervertreter/in,SchülervertreterIn
Schulkindervertretung Vertretung der Lernenden Schülerschaftsvertretung weitere Alternativen gesucht ,Schülervertreter,Schülervertreterinnen,Schülervertreter:innen,Schülervertreter_innen,Schülervertreter*innen,Schülervertreter/innen,SchülervertreterInnen
Sklaverei Ausführende,Sklavenhalter,Sklavenhalterinnen,Sklavenhalter:innen,Sklavenhalter_innen,Sklavenhalter*innen,Sklavenhalter/innen,SklavenhalterInnen
 Achtung! Auf der A7 befindet sich ein Fahrzeug in falscher Richtung im Bereich XY., Achtung! Auf der A7 befindet sich ein Geisterfahrer im Bereich XY., Achtung! Auf der A7 befindet sich ein Geisterfahrerin im Bereich XY., Achtung! Auf der A7 befindet sich ein Geisterfahrer:in im Bereich XY., Achtung! Auf der A7 befindet sich ein Geisterfahrer_in im Bereich XY., Achtung! Auf der A7 befindet sich ein Geisterfahrer*in im Bereich XY., Achtung! Auf der A7 befindet sich ein Geisterfahrer/in im Bereich XY., Achtung! Auf der A7 befindet sich ein GeisterfahrerIn im Bereich XY.
" Andreas und Elsa leiten die übungen zur Vorlesung ""Mathematik für das Biologiestudium"". / Andreas und Elsa betreuen die übungen zur Vorlesung ""Mathematische Grundlagen
(Biologie)""."," Andreas und Elsa sind Tutoren für die übungen zur Vorlesung ""Mathematik für Biologen""."," Andreas und Elsa sind Tutorinnen für die übungen zur Vorlesung ""Mathematik für Biologen""."," Andreas und Elsa sind Tutor:innen für die übungen zur Vorlesung ""Mathematik für Biologen""."," Andreas und Elsa sind Tutor_innen für die übungen zur Vorlesung ""Mathematik für Biologen""."," Andreas und Elsa sind Tutor*innen für die übungen zur Vorlesung ""Mathematik für Biologen""."," Andreas und Elsa sind Tutor/innen für die übungen zur Vorlesung ""Mathematik für Biologen""."," Andreas und Elsa sind TutorInnen für die übungen zur Vorlesung ""Mathematik für Biologen""."
 Angebot für privat Bauende, Angebot für private Bauherren, Angebot für private Bauherrenin, Angebot für private Bauherren:in, Angebot für private Bauherren_in, Angebot für private Bauherren*in, Angebot für private Bauherren/in, Angebot für private BauherrenIn
 Anmerkungen des Lektorats, Anmerkungen des Lektors, Anmerkungen des Lektorin, Anmerkungen des Lektor:in, Anmerkungen des Lektor_in, Anmerkungen des Lektor*in, Anmerkungen des Lektor/in, Anmerkungen des LektorIn
 Sie werden kurz nach Antragstellung benachrichtigt., Antragsteller werden in Kürze benachrichtigt., Antragstellerinnen werden in Kürze benachrichtigt., Antragstellerinnen werden :in Kürze benachrichtigt., Antragstellerinnen werden _in Kürze benachrichtigt., Antragstellerinnen werden *in Kürze benachrichtigt., Antragstellerinnen werden /in Kürze benachrichtigt., Antragstellerinnen werden In Kürze benachrichtigt.
 ärztinnen und ärzte aus verschiedenen Fachrichtungen, ärzte aus verschiedenen Facharztrichtungen, ärzte aus verschiedenen Fachärztinrichtung, ärzte aus verschiedenen Fachärzt:inrichtung, ärzte aus verschiedenen Fachärzt_inrichtung, ärzte aus verschiedenen Fachärzt*inrichtung, ärzte aus verschiedenen Fachärzt/inrichtung, ärzte aus verschiedenen FachärztInrichtung
