neutral,maskulinum,femininum,inkl_Doppelpunkt,inkl_Unterstrich,inkl_Sternchen,inkl_Schrägstrich,inkl_Grossbuchstaben
Die körperspendende Person hat ihre Überreste der medizinischen Forschung zur Verfügung gestellt.,Der Körperspender hat seine Überreste der medizinischen Forschung zur Verfügung gestellt.,Die Körperspenderin hat ihre Überreste der medizinischen Forschung zur Verfügung gestellt.,Dier Körperspender:in hat deren Überreste der medizinischen Forschung zur Verfügung gestellt.,Dier Körperspender_in hat deren Überreste der medizinischen Forschung zur Verfügung gestellt.,Dier Körperspender*in hat deren Überreste der medizinischen Forschung zur Verfügung gestellt.,Dier Körperspender/in hat deren Überreste der medizinischen Forschung zur Verfügung gestellt.,Dier KörperspenderIn hat deren Überreste der medizinischen Forschung zur Verfügung gestellt.
... Welche Voraussetzungen erfüllen Sie für die Tätigkeit als fahrzeugführende Person eines Absetzkippers?,... Welche Voraussetzungen erfüllen Sie für die Tätigkeit als Kraftfahrer eines Absetzkippers?,... Welche Voraussetzungen erfüllen Sie für die Tätigkeit als Kraftfahrerin eines Absetzkippers?,... Welche Voraussetzungen erfüllen Sie für die Tätigkeit als Kraftfahrer:in eines Absetzkippers?,... Welche Voraussetzungen erfüllen Sie für die Tätigkeit als Kraftfahrer_in eines Absetzkippers?,... Welche Voraussetzungen erfüllen Sie für die Tätigkeit als Kraftfahrer*in eines Absetzkippers?,... Welche Voraussetzungen erfüllen Sie für die Tätigkeit als Kraftfahrer/in eines Absetzkippers?,... Welche Voraussetzungen erfüllen Sie für die Tätigkeit als KraftfahrerIn eines Absetzkippers?
Die kreisbeigeordnete Person ist für die sozialen Belange im Landkreis zuständig.,Der Kreisbeigeordnete ist für die sozialen Belange im Landkreis zuständig.,Die Kreisbeigeordnete ist für die sozialen Belange im Landkreis zuständig.,Dier Kreisbeigeordnete ist für die sozialen Belange im Landkreis zuständig.,Dier Kreisbeigeordnete ist für die sozialen Belange im Landkreis zuständig.,Dier Kreisbeigeordnete ist für die sozialen Belange im Landkreis zuständig.,Dier Kreisbeigeordnete ist für die sozialen Belange im Landkreis zuständig.,Dier Kreisbeigeordnete ist für die sozialen Belange im Landkreis zuständig.
Der Kodex der Kämpfenden bestimmte die ehrenvollen Handlungen der Kämpfenden.,Der Kriegerkodex bestimmte die ehrenvollen Handlungen der Soldaten.,Der Kriegerinkodex bestimmte die ehrenvollen Handlungen der Soldatinnen.,Der Krieger:inkodex bestimmte die ehrenvollen Handlungen der Soldat:innen.,Der Krieger_inkodex bestimmte die ehrenvollen Handlungen der Soldat_innen.,Der Krieger*inkodex bestimmte die ehrenvollen Handlungen der Soldat*innen.,Der Krieger/inkodex bestimmte die ehrenvollen Handlungen der Soldat/innen.,Der KriegerInkodex bestimmte die ehrenvollen Handlungen der SoldatInnen.
Das Tribunal für Kriegsverbrechen verurteilte die Verantwortlichen für die Gräueltaten.,Das Kriegsverbrechertribunal verurteilte die Verantwortlichen für die Gräueltaten.,Das Kriegsverbrecherintribunal verurteilte die Verantwortlichen für die Gräueltaten.,Das Kriegsverbrecher:intribunal verurteilte die Verantwortlichen für die Gräueltaten.,Das Kriegsverbrecher_intribunal verurteilte die Verantwortlichen für die Gräueltaten.,Das Kriegsverbrecher*intribunal verurteilte die Verantwortlichen für die Gräueltaten.,Das Kriegsverbrecher/intribunal verurteilte die Verantwortlichen für die Gräueltaten.,Das KriegsverbrecherIntribunal verurteilte die Verantwortlichen für die Gräueltaten.
... Unsere Kundschaft sind Unternehmen und Privatpersonen.,"... Unsere Kunden sind Unternehmen und
Privatpersonen.","... Unsere Kundinnen sind Unternehmen und
Privatpersonen.","... Unsere Kund:innen sind Unternehmen und
Privatpersonen.","... Unsere Kund_innen sind Unternehmen und
Privatpersonen.","... Unsere Kund*innen sind Unternehmen und
Privatpersonen.","... Unsere Kund/innen sind Unternehmen und
Privatpersonen.","... Unsere KundInnen sind Unternehmen und
Privatpersonen."
Die neue Werbekampagne richtet sich speziell an eine junge Kundschaft.,Die neue Werbekampagne richtet sich speziell an eine junge Kundengruppe.,Die neue Werbekampagne richtet sich speziell an eine junge Kundinnengruppe.,Die neue Werbekampagne richtet sich speziell an eine junge Kund:innengruppe.,Die neue Werbekampagne richtet sich speziell an eine junge Kund_innengruppe.,Die neue Werbekampagne richtet sich speziell an eine junge Kund*innengruppe.,Die neue Werbekampagne richtet sich speziell an eine junge Kund/innengruppe.,Die neue Werbekampagne richtet sich speziell an eine junge KundInnengruppe.
Das Kundschaftsprojekt wurde pünktlich und zur vollen Zufriedenheit abgeschlossen.,Das Kundenprojekt wurde pünktlich und zur vollen Zufriedenheit abgeschlossen.,Das Kundinprojekt wurde pünktlich und zur vollen Zufriedenheit abgeschlossen.,Das Kund:inprojekt wurde pünktlich und zur vollen Zufriedenheit abgeschlossen.,Das Kund_inprojekt wurde pünktlich und zur vollen Zufriedenheit abgeschlossen.,Das Kund*inprojekt wurde pünktlich und zur vollen Zufriedenheit abgeschlossen.,Das Kund/inprojekt wurde pünktlich und zur vollen Zufriedenheit abgeschlossen.,Das KundInprojekt wurde pünktlich und zur vollen Zufriedenheit abgeschlossen.
Das künstlerische Konzeptbuch enthält eine Sammlung von Zeichnungen und Texten.,Das Künstlerbuch enthält eine Sammlung von Zeichnungen und Texten.,Das Künstlerinnenbuch enthält eine Sammlung von Zeichnungen und Texten.,Das Künstler:innenbuch enthält eine Sammlung von Zeichnungen und Texten.,Das Künstler_innenbuch enthält eine Sammlung von Zeichnungen und Texten.,Das Künstler*innenbuch enthält eine Sammlung von Zeichnungen und Texten.,Das Künstler/innenbuch enthält eine Sammlung von Zeichnungen und Texten.,Das KünstlerInnenbuch enthält eine Sammlung von Zeichnungen und Texten.
Die Kunstsiedlung ist bekannt für ihre experimentelle und gemeinschaftliche Kunstproduktion.,Die Künstlerkolonie ist bekannt für ihre experimentelle und gemeinschaftliche Kunstproduktion.,Die Künstlerinnenkolonie ist bekannt für ihre experimentelle und gemeinschaftliche Kunstproduktion.,Die Künstler:innenkolonie ist bekannt für ihre experimentelle und gemeinschaftliche Kunstproduktion.,Die Künstler_innenkolonie ist bekannt für ihre experimentelle und gemeinschaftliche Kunstproduktion.,Die Künstler*innenkolonie ist bekannt für ihre experimentelle und gemeinschaftliche Kunstproduktion.,Die Künstler/innenkolonie ist bekannt für ihre experimentelle und gemeinschaftliche Kunstproduktion.,Die KünstlerInnenkolonie ist bekannt für ihre experimentelle und gemeinschaftliche Kunstproduktion.
"Die Verzerrung durch Kampfrichtende wurde beanstandet, da sie den Wettbewerb beeinträchtigte.","Die Kampfrichterverzerrung wurde beanstandet, da sie den Wettbewerb beeinträchtigte.","Die Kampfrichterinverzerrung wurde beanstandet, da sie den Wettbewerb beeinträchtigte.","Die Kampfrichter:inverzerrung wurde beanstandet, da sie den Wettbewerb beeinträchtigte.","Die Kampfrichter_inverzerrung wurde beanstandet, da sie den Wettbewerb beeinträchtigte.","Die Kampfrichter*inverzerrung wurde beanstandet, da sie den Wettbewerb beeinträchtigte.","Die Kampfrichter/inverzerrung wurde beanstandet, da sie den Wettbewerb beeinträchtigte.","Die KampfrichterInverzerrung wurde beanstandet, da sie den Wettbewerb beeinträchtigte."
"Die Laborfachkraft analysierte die Proben im Labor, um die chemische Zusammensetzung zu bestimmen.","Der Laborant analysierte die Proben im Labor, um die chemische Zusammensetzung zu bestimmen.","Die Laborantin analysierte die Proben im Labor, um die chemische Zusammensetzung zu bestimmen.","Dier Laborant:in analysierte die Proben im Labor, um die chemische Zusammensetzung zu bestimmen.","Dier Laborant_in analysierte die Proben im Labor, um die chemische Zusammensetzung zu bestimmen.","Dier Laborant*in analysierte die Proben im Labor, um die chemische Zusammensetzung zu bestimmen.","Dier Laborant/in analysierte die Proben im Labor, um die chemische Zusammensetzung zu bestimmen.","Dier LaborantIn analysierte die Proben im Labor, um die chemische Zusammensetzung zu bestimmen."
"Die Lagerfachkraft ist dafür verantwortlich, dass alle Waren ordnungsgemäß eingelagert und rechtzeitig versandt werden.","Der Lagerist ist dafür verantwortlich, dass alle Waren ordnungsgemäß eingelagert und rechtzeitig versandt werden.","Die Lageristin ist dafür verantwortlich, dass alle Waren ordnungsgemäß eingelagert und rechtzeitig versandt werden.","Dier Lagerist:in ist dafür verantwortlich, dass alle Waren ordnungsgemäß eingelagert und rechtzeitig versandt werden.","Dier Lagerist_in ist dafür verantwortlich, dass alle Waren ordnungsgemäß eingelagert und rechtzeitig versandt werden.","Dier Lagerist*in ist dafür verantwortlich, dass alle Waren ordnungsgemäß eingelagert und rechtzeitig versandt werden.","Dier Lagerist/in ist dafür verantwortlich, dass alle Waren ordnungsgemäß eingelagert und rechtzeitig versandt werden.","Dier LageristIn ist dafür verantwortlich, dass alle Waren ordnungsgemäß eingelagert und rechtzeitig versandt werden."
"Als Mensch ohne Fachkenntnisse hatte dey Schwierigkeiten, die komplexen wissenschaftlichen Konzepte zu verstehen.","Als Laie hatte er Schwierigkeiten, die komplexen wissenschaftlichen Konzepte zu verstehen.","Als Laiin hatte sie Schwierigkeiten, die komplexen wissenschaftlichen Konzepte zu verstehen.","Als Lai:in hatte dey Schwierigkeiten, die komplexen wissenschaftlichen Konzepte zu verstehen.","Als Lai_in hatte dey Schwierigkeiten, die komplexen wissenschaftlichen Konzepte zu verstehen.","Als Lai*in hatte dey Schwierigkeiten, die komplexen wissenschaftlichen Konzepte zu verstehen.","Als Lai/in hatte dey Schwierigkeiten, die komplexen wissenschaftlichen Konzepte zu verstehen.","Als LaiIn hatte dey Schwierigkeiten, die komplexen wissenschaftlichen Konzepte zu verstehen."
Die Fachunkundigen im Publikum stellten viele interessante Fragen.,Die Laien im Publikum stellten viele interessante Fragen.,Die Laiinnen im Publikum stellten viele interessante Fragen.,Die Lai:innen im Publikum stellten viele interessante Fragen.,Die Lai_innen im Publikum stellten viele interessante Fragen.,Die Lai*innen im Publikum stellten viele interessante Fragen.,Die Lai/innen im Publikum stellten viele interessante Fragen.,Die LaiInnen im Publikum stellten viele interessante Fragen.
Die Person mit dem Landratamt setzte sich für die Verbesserung der Infrastruktur in deren Landkreis ein.,Der Landrat setzte sich für die Verbesserung der Infrastruktur in seinem Landkreis ein.,Die Landrätin setzte sich für die Verbesserung der Infrastruktur in ihrem Landkreis ein.,Dier Landrät:in setzte sich für die Verbesserung der Infrastruktur in deren Landkreis ein.,Dier Landrät_in setzte sich für die Verbesserung der Infrastruktur in deren Landkreis ein.,Dier Landrät*in setzte sich für die Verbesserung der Infrastruktur in deren Landkreis ein.,Dier Landrät/in setzte sich für die Verbesserung der Infrastruktur in deren Landkreis ein.,Dier LandrätIn setzte sich für die Verbesserung der Infrastruktur in deren Landkreis ein.
Die beiden Landsleute trafen sich zufällig in der fernen Stadt und freuten sich über die gemeinsame Herkunft.,Die beiden Landsmänner trafen sich zufällig in der fernen Stadt und freuten sich über die gemeinsame Herkunft.,Die beiden Landsfrauen trafen sich zufällig in der fernen Stadt und freuten sich über die gemeinsame Herkunft.,Die beiden Landsleute trafen sich zufällig in der fernen Stadt und freuten sich über die gemeinsame Herkunft.,Die beiden Landsleute trafen sich zufällig in der fernen Stadt und freuten sich über die gemeinsame Herkunft.,Die beiden Landsleute trafen sich zufällig in der fernen Stadt und freuten sich über die gemeinsame Herkunft.,Die beiden Landsleute trafen sich zufällig in der fernen Stadt und freuten sich über die gemeinsame Herkunft.,Die beiden Landsleute trafen sich zufällig in der fernen Stadt und freuten sich über die gemeinsame Herkunft.
"Die Landwirtschaft betreibende Person pflanzte in diesem Jahr mehr Gemüse an, um die Nachfrage der regionalen Märkte zu decken.","Der Landwirt pflanzte in diesem Jahr mehr Gemüse an, um die Nachfrage der regionalen Märkte zu decken.","Die Landwirtin pflanzte in diesem Jahr mehr Gemüse an, um die Nachfrage der regionalen Märkte zu decken.","Dier Landwirt:in pflanzte in diesem Jahr mehr Gemüse an, um die Nachfrage der regionalen Märkte zu decken.","Dier Landwirt_in pflanzte in diesem Jahr mehr Gemüse an, um die Nachfrage der regionalen Märkte zu decken.","Dier Landwirt*in pflanzte in diesem Jahr mehr Gemüse an, um die Nachfrage der regionalen Märkte zu decken.","Dier Landwirt/in pflanzte in diesem Jahr mehr Gemüse an, um die Nachfrage der regionalen Märkte zu decken.","Dier LandwirtIn pflanzte in diesem Jahr mehr Gemüse an, um die Nachfrage der regionalen Märkte zu decken."
Viele Landwirtschaft Betreibende kämpfen mit den Auswirkungen des Klimawandiers auf ihre Ernten.,Viele Landwirte kämpfen mit den Auswirkungen des Klimawandiers auf ihre Ernten.,Viele Landwirtinnen kämpfen mit den Auswirkungen des Klimawandiers auf ihre Ernten.,Viele Landwirt:innen kämpfen mit den Auswirkungen des Klimawandiers auf ihre Ernten.,Viele Landwirt_innen kämpfen mit den Auswirkungen des Klimawandiers auf ihre Ernten.,Viele Landwirt*innen kämpfen mit den Auswirkungen des Klimawandiers auf ihre Ernten.,Viele Landwirt/innen kämpfen mit den Auswirkungen des Klimawandiers auf ihre Ernten.,Viele LandwirtInnen kämpfen mit den Auswirkungen des Klimawandiers auf ihre Ernten.
"Die laufsporttreibende Person trainierte täglich, um sich auf den bevorstehenden Marathon vorzubereiten.","Der Läufer trainierte täglich, um sich auf den bevorstehenden Marathon vorzubereiten.","Die Läuferin trainierte täglich, um sich auf den bevorstehenden Marathon vorzubereiten.","Dier Läufer:in trainierte täglich, um sich auf den bevorstehenden Marathon vorzubereiten.","Dier Läufer_in trainierte täglich, um sich auf den bevorstehenden Marathon vorzubereiten.","Dier Läufer*in trainierte täglich, um sich auf den bevorstehenden Marathon vorzubereiten.","Dier Läufer/in trainierte täglich, um sich auf den bevorstehenden Marathon vorzubereiten.","Dier LäuferIn trainierte täglich, um sich auf den bevorstehenden Marathon vorzubereiten."
"Die Layout designende Person gestaltete das Magazin so, dass es ansprechend und übersichtlich für die Lesenden war.","Der Layouter gestaltete das Magazin so, dass es ansprechend und übersichtlich für die Leser war.","Die Layouterin gestaltete das Magazin so, dass es ansprechend und übersichtlich für die Leserinnen war.","Dier Layouter:in gestaltete das Magazin so, dass es ansprechend und übersichtlich für die Leser:innen war.","Dier Layouter_in gestaltete das Magazin so, dass es ansprechend und übersichtlich für die Leser_innen war.","Dier Layouter*in gestaltete das Magazin so, dass es ansprechend und übersichtlich für die Leser*innen war.","Dier Layouter/in gestaltete das Magazin so, dass es ansprechend und übersichtlich für die Leser/innen war.","Dier LayouterIn gestaltete das Magazin so, dass es ansprechend und übersichtlich für die LeserInnen war."
Deren verpartnerte Person unterstützte dem in jeder Lebenslage und war stets an deren Seite.,Sein Lebenspartner unterstützte ihn in jeder Lebenslage und war stets an seiner Seite.,Ihre Lebenspartnerin unterstützte sie in jeder Lebenslage und war stets an ihrer Seite.,Deren Lebenspartner:in unterstützte dem in jeder Lebenslage und war stets an deren Seite.,Deren Lebenspartner_in unterstützte dem in jeder Lebenslage und war stets an deren Seite.,Deren Lebenspartner*in unterstützte dem in jeder Lebenslage und war stets an deren Seite.,Deren Lebenspartner/in unterstützte dem in jeder Lebenslage und war stets an deren Seite.,Deren LebenspartnerIn unterstützte dem in jeder Lebenslage und war stets an deren Seite.
"Die eingetragene verpartnerte Person hat das Recht, im Krankenhaus Entscheidungen mitzutreffen.","Der eingetragene Lebenspartner hat das Recht, im Krankenhaus Entscheidungen mitzutreffen.","Die eingetragene Lebenspartnerin hat das Recht, im Krankenhaus Entscheidungen mitzutreffen.","Dier eingetragene Lebenspartner:in hat das Recht, im Krankenhaus Entscheidungen mitzutreffen.","Dier eingetragene Lebenspartner_in hat das Recht, im Krankenhaus Entscheidungen mitzutreffen.","Dier eingetragene Lebenspartner*in hat das Recht, im Krankenhaus Entscheidungen mitzutreffen.","Dier eingetragene Lebenspartner/in hat das Recht, im Krankenhaus Entscheidungen mitzutreffen.","Dier eingetragene LebenspartnerIn hat das Recht, im Krankenhaus Entscheidungen mitzutreffen."
Die Lehrkraft bereitete die Abschlussprüfung vor.,Der Lehrer bereitete die Abschlussprüfung vor.,Die Lehrerin bereitete die Abschlussprüfung vor.,Dier Lehrer:in bereitete die Abschlussprüfung vor.,Dier Lehrer_in bereitete die Abschlussprüfung vor.,Dier Lehrer*in bereitete die Abschlussprüfung vor.,Dier Lehrer/in bereitete die Abschlussprüfung vor.,Dier LehrerIn bereitete die Abschlussprüfung vor.
Die Lehrkräfte diskutierten in der Pause über neue Unterrichtsmethoden.,Die Lehrer diskutierten in der Pause über neue Unterrichtsmethoden.,Die Lehrerinnen diskutierten in der Pause über neue Unterrichtsmethoden.,Die Lehrer:innen diskutierten in der Pause über neue Unterrichtsmethoden.,Die Lehrer_innen diskutierten in der Pause über neue Unterrichtsmethoden.,Die Lehrer*innen diskutierten in der Pause über neue Unterrichtsmethoden.,Die Lehrer/innen diskutierten in der Pause über neue Unterrichtsmethoden.,Die LehrerInnen diskutierten in der Pause über neue Unterrichtsmethoden.
Dier Lehrling begann deren Ausbildung mit viel Enthusiasmus.,Der Lehrling begann seine Ausbildung mit viel Enthusiasmus.,Die Lehrling begann ihre Ausbildung mit viel Enthusiasmus.,Dier Lehrling begann deren Ausbildung mit viel Enthusiasmus.,Dier Lehrling begann deren Ausbildung mit viel Enthusiasmus.,Dier Lehrling begann deren Ausbildung mit viel Enthusiasmus.,Dier Lehrling begann deren Ausbildung mit viel Enthusiasmus.,Dier Lehrling begann deren Ausbildung mit viel Enthusiasmus.
Die Auszubildenden mussten an einem Tag in der Woche die Berufsschule besuchen.,Die Lehrlinge mussten an einem Tag in der Woche die Berufsschule besuchen.,Die Lehrlinge mussten an einem Tag in der Woche die Berufsschule besuchen.,Die Lehrlinge mussten an einem Tag in der Woche die Berufsschule besuchen.,Die Lehrlinge mussten an einem Tag in der Woche die Berufsschule besuchen.,Die Lehrlinge mussten an einem Tag in der Woche die Berufsschule besuchen.,Die Lehrlinge mussten an einem Tag in der Woche die Berufsschule besuchen.,Die Lehrlinge mussten an einem Tag in der Woche die Berufsschule besuchen.
Die Leitung der Abteilung traf wichtige Entscheidungen bezüglich der Projektplanung.,Der Leiter der Abteilung traf wichtige Entscheidungen bezüglich der Projektplanung.,Die Leiterin der Abteilung traf wichtige Entscheidungen bezüglich der Projektplanung.,Dier Leiter:in der Abteilung traf wichtige Entscheidungen bezüglich der Projektplanung.,Dier Leiter_in der Abteilung traf wichtige Entscheidungen bezüglich der Projektplanung.,Dier Leiter*in der Abteilung traf wichtige Entscheidungen bezüglich der Projektplanung.,Dier Leiter/in der Abteilung traf wichtige Entscheidungen bezüglich der Projektplanung.,Dier LeiterIn der Abteilung traf wichtige Entscheidungen bezüglich der Projektplanung.
Das Lektorat überarbeitete das Manuskript.,Der Lektor überarbeitete das Manuskript.,Die Lektorin überarbeitete das Manuskript.,Dier Lektor:in überarbeitete das Manuskript.,Dier Lektor_in überarbeitete das Manuskript.,Dier Lektor*in überarbeitete das Manuskript.,Dier Lektor/in überarbeitete das Manuskript.,Dier LektorIn überarbeitete das Manuskript.
Die [Fahrzeug] lenkende Person fuhr vorsichtig durch den dichten Verkehr.,Der [Fahrzeug-]Lenker fuhr vorsichtig durch den dichten Verkehr.,Die [Fahrzeug-]Lenkerin fuhr vorsichtig durch den dichten Verkehr.,Dier [Fahrzeug-]Lenker:in fuhr vorsichtig durch den dichten Verkehr.,Dier [Fahrzeug-]Lenker_in fuhr vorsichtig durch den dichten Verkehr.,Dier [Fahrzeug-]Lenker*in fuhr vorsichtig durch den dichten Verkehr.,Dier [Fahrzeug-]Lenker/in fuhr vorsichtig durch den dichten Verkehr.,Dier [Fahrzeug-]LenkerIn fuhr vorsichtig durch den dichten Verkehr.
"Jeder Lerntyp benötigt unterschiedliche Methoden, um effektiv zu lernen.","Jeder Lerntyp benötigt unterschiedliche Methoden, um effektiv zu lernen.","Jeder Lerntyp benötigt unterschiedliche Methoden, um effektiv zu lernen.","Jeder Lerntyp benötigt unterschiedliche Methoden, um effektiv zu lernen.","Jeder Lerntyp benötigt unterschiedliche Methoden, um effektiv zu lernen.","Jeder Lerntyp benötigt unterschiedliche Methoden, um effektiv zu lernen.","Jeder Lerntyp benötigt unterschiedliche Methoden, um effektiv zu lernen.","Jeder Lerntyp benötigt unterschiedliche Methoden, um effektiv zu lernen."
"Die lernende Person nutzte verschiedene Online-Ressourcen, um sich auf die Prüfung vorzubereiten.","Der Lernende nutzte verschiedene Online-Ressourcen, um sich auf die Prüfung vorzubereiten.","Die Lernende nutzte verschiedene Online-Ressourcen, um sich auf die Prüfung vorzubereiten.","Dier lernende Person nutzte verschiedene Online-Ressourcen, um sich auf die Prüfung vorzubereiten.","Dier lernende Person nutzte verschiedene Online-Ressourcen, um sich auf die Prüfung vorzubereiten.","Dier lernende Person nutzte verschiedene Online-Ressourcen, um sich auf die Prüfung vorzubereiten.","Dier lernende Person nutzte verschiedene Online-Ressourcen, um sich auf die Prüfung vorzubereiten.","Dier lernende Person nutzte verschiedene Online-Ressourcen, um sich auf die Prüfung vorzubereiten."
Die lesende Person war von der spannenden Handlung des Romans begeistert.,Der Leser war von der spannenden Handlung des Romans begeistert.,Die Leserin war von der spannenden Handlung des Romans begeistert.,Dier Leser:in war von der spannenden Handlung des Romans begeistert.,Dier Leser_in war von der spannenden Handlung des Romans begeistert.,Dier Leser*in war von der spannenden Handlung des Romans begeistert.,Dier Leser/in war von der spannenden Handlung des Romans begeistert.,Dier LeserIn war von der spannenden Handlung des Romans begeistert.
"An die werten lesenden Personen, ich hoffe, dass Ihnen dieses Buch viel Freude bereitet.","An den werten Leser, ich hoffe, dass Ihnen dieses Buch viel Freude bereitet.","An die werte Leserin, ich hoffe, dass Ihnen dieses Buch viel Freude bereitet.","An dier werte Leser:in, ich hoffe, dass Ihnen dieses Buch viel Freude bereitet.","An dier werte Leser_in, ich hoffe, dass Ihnen dieses Buch viel Freude bereitet.","An dier werte Leser*in, ich hoffe, dass Ihnen dieses Buch viel Freude bereitet.","An dier werte Leser/in, ich hoffe, dass Ihnen dieses Buch viel Freude bereitet.","An dier werte LeserIn, ich hoffe, dass Ihnen dieses Buch viel Freude bereitet."
Die lesende Zielgruppe lobte das neue Werk.,Die Leser lobten das neue Werk.,Die Leserinnen lobten das neue Werk.,Die Leser:innen lobten das neue Werk.,Die Leser_innen lobten das neue Werk.,Die Leser*innen lobten das neue Werk.,Die Leser/innen lobten das neue Werk.,Die LeserInnen lobten das neue Werk.
Die Zuschrift an die Zeitung beschrieb die Meinung der verfassenden Person zu einem aktuellen Thema.,Der Leserbrief an die Zeitung beschrieb die Meinung des Verfassers zu einem aktuellen Thema.,Der Leserinbrief an die Zeitung beschrieb die Meinung der Verfasserin zu einem aktuellen Thema.,Der Leser:inbrief an die Zeitung beschrieb die Meinung der verfasserenden Person zu einem aktuellen Thema.,Der Leser_inbrief an die Zeitung beschrieb die Meinung der verfasserenden Person zu einem aktuellen Thema.,Der Leser*inbrief an die Zeitung beschrieb die Meinung der verfasserenden Person zu einem aktuellen Thema.,Der Leser/inbrief an die Zeitung beschrieb die Meinung der verfasserenden Person zu einem aktuellen Thema.,Der LeserInbrief an die Zeitung beschrieb die Meinung der verfasserenden Person zu einem aktuellen Thema.
"Die Redaktion erhielt viele Briefzuschriften, die unterschiedliche Meinungen widerspiegelten.","Die Redaktion erhielt viele Leserbriefe, die unterschiedliche Meinungen widerspiegelten.","Die Redaktion erhielt viele Leserinbriefe, die unterschiedliche Meinungen widerspiegelten.","Die Redaktion erhielt viele Leser:inbriefe, die unterschiedliche Meinungen widerspiegelten.","Die Redaktion erhielt viele Leser_inbriefe, die unterschiedliche Meinungen widerspiegelten.","Die Redaktion erhielt viele Leser*inbriefe, die unterschiedliche Meinungen widerspiegelten.","Die Redaktion erhielt viele Leser/inbriefe, die unterschiedliche Meinungen widerspiegelten.","Die Redaktion erhielt viele LeserInbriefe, die unterschiedliche Meinungen widerspiegelten."
Die Webseite war sehr lesefreundlich gestaltet und leicht zu navigieren.,Die Webseite war sehr leserfreundlich gestaltet und leicht zu navigieren.,Die Webseite war sehr leserinfreundlich gestaltet und leicht zu navigieren.,Die Webseite war sehr leser:infreundlich gestaltet und leicht zu navigieren.,Die Webseite war sehr leser_infreundlich gestaltet und leicht zu navigieren.,Die Webseite war sehr leser*infreundlich gestaltet und leicht zu navigieren.,Die Webseite war sehr leser/infreundlich gestaltet und leicht zu navigieren.,Die Webseite war sehr leserInfreundlich gestaltet und leicht zu navigieren.
Als letzte Person im Rennen überquerte dey die Ziellinie.,Als Letzter im Rennen überquerte er die Ziellinie.,Als Letzte im Rennen überquerte sie die Ziellinie.,Als Letzte:r im Rennen überquerte dey die Ziellinie.,Als Letzte:r im Rennen überquerte dey die Ziellinie.,Als Letzte:r im Rennen überquerte dey die Ziellinie.,Als Letzte:r im Rennen überquerte dey die Ziellinie.,Als LetzteR im Rennen überquerte dey die Ziellinie.
"Hallo Mensch, ich hoffe, dir geht es gut.","Lieber Mann, ich hoffe, dir geht es gut.","Liebe Frau, ich hoffe, dir geht es gut.","Liebe:r Mensch, ich hoffe, dir geht es gut.","Liebe:r Mensch, ich hoffe, dir geht es gut.","Liebe:r Mensch, ich hoffe, dir geht es gut.","Liebe:r Mensch, ich hoffe, dir geht es gut.","LiebeR Mensch, ich hoffe, dir geht es gut."
Die an klassischer Musik begeisterte Person freute sich auf das Konzert am Wochenende.,Der Liebhaber klassischer Musik freute sich auf das Konzert am Wochenende.,Die Liebhaberin klassischer Musik freute sich auf das Konzert am Wochenende.,Dier Liebhaber:in klassischer Musik freute sich auf das Konzert am Wochenende.,Dier Liebhaber_in klassischer Musik freute sich auf das Konzert am Wochenende.,Dier Liebhaber*in klassischer Musik freute sich auf das Konzert am Wochenende.,Dier Liebhaber/in klassischer Musik freute sich auf das Konzert am Wochenende.,Dier LiebhaberIn klassischer Musik freute sich auf das Konzert am Wochenende.
Die Lieferfirma brachte die bestellten Waren pünktlich ins Geschäft.,Der Lieferant brachte die bestellten Waren pünktlich ins Geschäft.,Die Lieferantin brachte die bestellten Waren pünktlich ins Geschäft.,Dier Lieferant:in brachte die bestellten Waren pünktlich ins Geschäft.,Dier Lieferant_in brachte die bestellten Waren pünktlich ins Geschäft.,Dier Lieferant*in brachte die bestellten Waren pünktlich ins Geschäft.,Dier Lieferant/in brachte die bestellten Waren pünktlich ins Geschäft.,Dier LieferantIn brachte die bestellten Waren pünktlich ins Geschäft.
Als links gesinnte Person setzt dey sich für soziale Gerechtigkeit und Gleichheit ein.,Als Linker setzt er sich für soziale Gerechtigkeit und Gleichheit ein.,Als Linke setzt sie sich für soziale Gerechtigkeit und Gleichheit ein.,Als Linke:r setzt dey sich für soziale Gerechtigkeit und Gleichheit ein.,Als Linke:r setzt dey sich für soziale Gerechtigkeit und Gleichheit ein.,Als Linke:r setzt dey sich für soziale Gerechtigkeit und Gleichheit ein.,Als Linke:r setzt dey sich für soziale Gerechtigkeit und Gleichheit ein.,Als LinkeR setzt dey sich für soziale Gerechtigkeit und Gleichheit ein.
"Die linkshändige Person fand es manchmal schwierig, geeignete Werkzeuge zu finden","Der Linkshänder fand es manchmal schwierig, geeignete Werkzeuge zu finden","Die Linkshänderin fand es manchmal schwierig, geeignete Werkzeuge zu finden","Dier Linkshänder:in fand es manchmal schwierig, geeignete Werkzeuge zu finden","Dier Linkshänder_in fand es manchmal schwierig, geeignete Werkzeuge zu finden","Dier Linkshänder*in fand es manchmal schwierig, geeignete Werkzeuge zu finden","Dier Linkshänder/in fand es manchmal schwierig, geeignete Werkzeuge zu finden","Dier LinkshänderIn fand es manchmal schwierig, geeignete Werkzeuge zu finden"
